date,value
2012,3.43461765115381
2012,3.72229972360317
2012,3.94544327491787
2012,3.72229972360317
2012,4.20780753938655
2012,3.49356621044681
2012,3.74488063872805
2012,3.58876833097969
2012,3.62709760307019
2012,3.72229972360317
2012,4.28191551153963
2012,3.58876833097969
2012,3.72229972360317
2012,3.74488063872805
2012,3.58876833097969
2012,3.58876833097969
2012,3.58876833097969
2012,3.72229972360317
2012,3.74488063872805
2012,3.8400827592609
2012,3.72229972360317
2012,3.94555133419042
2012,3.49356621044681
2012,3.25229609435792
2012,3.43461765115381
2012,4.12776483171214
2012,3.62709760307019
2012,3.33941553061753
2012,4.1126054188521
2012,3.33941553061753
2012,3.58876833097969
2012,3.33941553061753
2012,3.33941553061753
2012,3.33941553061753
2012,4.20780753938655
2012,3.72229972360317
2012,3.58876833097969
2012,3.74488063872805
2012,3.58876833097969
2012,3.72229972360317
2012,3.49356621044681
2012,3.62709760307019
2012,3.94544327491787
2012,3.43461765115381
2012,3.49356621044681
2012,3.33941553061753
2012,3.58876833097969
2012,3.62709760307019
2012,3.43461765115381
2012,3.74488063872805
2012,3.58876833097969
2012,4.04075345472325
2012,3.94544327491787
2012,3.8400827592609
2012,3.85024115438493
2012,3.94555133419042
2012,3.62709760307019
2012,3.43461765115381
2012,3.72229972360317
2012,3.8400827592609
2012,3.74488063872805
2012,3.72229972360317
2012,4.04075345472325
2012,3.62709760307019
2012,3.43461765115381
2012,3.33941553061753
2012,3.58876833097969
2012,3.49356621044681
2012,3.94544327491787
2014,4.20780753938655
2014,4.08668132622145
2014,3.43461765115381
2014,4.08668132622145
2014,4.08668132622145
2014,3.49356621044681
2014,4.08668132622145
2014,4.08668132622145
2014,2.99230483505646
2014,3.43461765115381
2014,3.72229972360317
2014,4.08668132622145
2014,3.72229972360317
2014,3.58876833097969
2014,4.08668132622145
2014,2.58683972694579
2014,3.33941553061753
2014,3.72229972360317
2014,4.08668132622145
2014,4.08668132622145
2014,3.62709760307019
2014,3.8400827592609
2014,3.62709760307019
2014,4.08668132622145
2014,3.72229972360317
2014,3.72229972360317
2014,4.08668132622145
2014,4.08668132622145
2014,4.08668132622145
2014,3.58876833097969
2014,3.62709760307019
2014,4.08668132622145
